instructions.started,instructions.stopped,participant,age,date,expName,psychopyVersion,OS,frameRate,reset_balloon.started,reset_balloon.stopped,trial.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,maxPumps,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,pump.ran
0.0002,32.0944,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,32.1034,32.1034,36.5608,36.9949,6,0.205,0,TRUE,36.9953,38.494,0,0,0,5,1,7,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,38.4943,38.4943,41.0773,41.2609,10,0.265,0,TRUE,41.261,42.7609,0,1,1,9,1,11,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,42.7613,42.7613,43.3932,43.5939,3,0.16,0,TRUE,43.594,45.0941,0,2,2,2,1,4,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,45.0942,45.0942,45.1273,45.3106,1,0.13,0,TRUE,45.3107,46.811,0,3,3,0,1,2,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,46.8113,46.8113,50.8613,51.561,12,0.295,0.6,FALSE,,,,,,,,,12,0,12,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,51.5614,53.0613,0,4,4,15,1,17,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,53.0617,53.0617,56.0615,56.3107,11,0.28,0,TRUE,56.3107,57.8111,0,5,5,10,1,12,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,57.8113,57.8113,59.9447,60.227,8,0.235,0,TRUE,60.2271,61.7272,0,6,6,7,1,9,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,61.7274,61.7274,63.6775,64.2773,8,0.235,0.4,FALSE,,,,,,,,,8,0,8,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,64.2773,65.7773,0,7,7,13,1,15,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,65.7776,65.7776,69.1279,69.4774,12,0.295,0,TRUE,69.4774,70.9773,0,8,8,11,1,13,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,70.9775,70.9775,74.2274,74.7939,12,0.295,0.6,FALSE,,,,,,,,,12,0,12,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,74.794,76.2939,0,9,9,17,1,19,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,76.2941,76.2941,76.8294,77.0439,2,0.145,0,TRUE,77.0439,78.5441,0,10,10,1,1,3,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,78.5443,78.5443,80.8441,81.0276,7,0.22,0,TRUE,81.0277,82.5272,0,11,11,6,1,8,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,82.5274,82.5274,84.2602,84.4772,5,0.19,0,TRUE,84.4772,85.9771,0,12,12,4,1,6,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,85.9774,85.9774,88.2108,88.6765,6,0.205,0.3,FALSE,,,,,,,,,6,0,6,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,88.6767,90.1771,0,13,13,19,1,21,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,90.1777,90.1777,96.0608,98.5436,14,0.325,0.7,FALSE,,,,,,,,,14,0,14,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,98.5437,100.044,0,14,14,18,1,20,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,100.0531,100.0531,103.9784,104.7444,12,0.295,0.6,FALSE,,,,,,,,,12,0,12,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,104.7445,106.2439,0,15,15,16,1,18,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,106.2439,106.2439,108.7615,109.1109,9,0.25,0,TRUE,109.111,110.611,0,16,16,8,1,10,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,110.6113,110.6113,113.7948,114.1601,13,0.31,0,TRUE,114.1601,115.6607,0,17,17,12,1,14,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,115.6609,115.661,116.577,116.7606,4,0.175,0,TRUE,116.7607,118.26,0,18,18,3,1,5,,,,,
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,118.2604,118.2604,120.3447,120.9941,10,0.265,0.5,FALSE,,,,,,,,,10,0,10,0,1
,,DDD,39,2024-02-04_13h30.45.277,bart,2023.2.3,MacIntel,58.47953216,,,,,,,,,120.9942,122.4944,0,19,19,14,1,16,,,,,