maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
2,0,0,0,0,,,,,4.252017599996179,,0.018132299999706447,0.11310799996135756,0.11310799996135756,0.11310799996135756,0.03456887995125726,1.1279424999956973,1.150003899994772,1.1506050999742001,4.2314612999907695,4.252017599996179,4.252017599996179,4.252017599996179,4.252017599996179,4.252017599996179,4.252017599996179,4.252017599996179,5.263700599956792,1,0.13,0.0,True,5.263968299957924,5.3084634999977425,5.3084634999977425,5.3084634999977425,5.3084634999977425,5.3084634999977425,5.3084634999977425,6.772912499960512,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
7,0,1,1,5,,,,,7.489068900002167,,,,,,,,6.773170699947514,6.773859599954449,7.474902499991003,7.489068900002167,7.489068900002167,7.489068900002167,7.489068900002167,7.489068900002167,7.489068900002167,7.489068900002167,10.709175799973309,1,0.13,0.05,False,10.709470299945679,10.734156999969855,10.734156999969855,10.734156999969855,10.734156999969855,10.734156999969855,10.734156999969855,12.219796199991833,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
8,0,2,2,6,,,,,12.752510299964342,,,,,,,,12.220050999952946,12.220551799982786,12.738438699976541,12.752510299964342,12.752510299964342,12.752510299964342,12.752510299964342,12.752510299964342,12.752510299964342,12.752510299964342,13.959052099962719,1,0.13,0.05,False,13.959310099948198,13.974336199986283,13.974336199986283,13.974336199986283,13.974336199986283,13.974336199986283,13.974336199986283,15.467318899987731,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
20,0,3,3,18,,,,,386.48320849996526,,,,,,,,15.467536199954338,15.468205499986652,386.4693421999691,386.48320849996526,386.48320849996526,386.48320849996526,386.48320849996526,386.48320849996526,386.48320849996526,386.48320849996526,388.72165249998216,1,0.13,0.05,False,388.7219317999552,388.8537424999522,388.8537424999522,388.8537424999522,388.8537424999522,388.8537424999522,388.8537424999522,390.23028419999173,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
9,0,4,4,7,,,,,391.3294343999587,,,,,,,,390.23054520000005,390.2310311999754,391.31539189995965,391.3294343999587,391.3294343999587,391.3294343999587,391.3294343999587,391.3294343999587,391.3294343999587,391.3294343999587,392.16797709994717,1,0.13,0.05,False,392.1682116999873,392.19674539996777,392.19674539996777,392.19674539996777,392.19674539996777,392.19674539996777,392.19674539996777,393.6812617999967,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
13,0,5,5,11,,,,,394.2119193999679,,,,,,,,393.6815730999806,393.6819354999461,394.19159449997824,394.2119193999679,394.2119193999679,394.2119193999679,394.2119193999679,394.2119193999679,394.2119193999679,394.2119193999679,394.634311999951,2,0.14500000000000002,0.1,False,394.634551199968,394.6542238999973,394.6542238999973,394.6542238999973,394.6542238999973,394.6542238999973,394.6542238999973,396.1430209999671,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
11,0,6,6,9,,,,,398.23076619999483,,,,,,,,396.1432818999747,396.1436122999876,398.2153738999623,398.23076619999483,398.23076619999483,398.23076619999483,398.23076619999483,398.23076619999483,398.23076619999483,398.23076619999483,399.5469471999677,10,0.265,0.0,True,399.54727179999463,399.5672155999928,399.5672155999928,399.5672155999928,399.5672155999928,399.5672155999928,399.5672155999928,401.0598446999793,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
5,0,7,7,3,,,,,402.72889399999985,,,,,,,,401.0601097999606,401.06089029996656,402.71304209996015,402.72889399999985,402.72889399999985,402.72889399999985,402.72889399999985,402.72889399999985,402.72889399999985,402.72889399999985,402.99519009998767,4,0.175,0.0,True,402.9957107999944,403.0157116999617,403.0157116999617,403.0157116999617,403.0157116999617,403.0157116999617,403.0157116999617,404.5075547999586,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
6,0,8,8,4,,,,,406.3432927999529,,,,,,,,404.5077832999523,404.50812229997246,406.3263184999814,406.3432927999529,406.3432927999529,406.3432927999529,406.3432927999529,406.3432927999529,406.3432927999529,406.3432927999529,406.69275719998404,4,0.175,0.2,False,406.6929939999827,406.71176059998106,406.71176059998106,406.71176059998106,406.71176059998106,406.71176059998106,406.71176059998106,408.2021026999573,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
14,0,9,9,12,,,,,408.73536109999986,,,,,,,,408.202343699988,408.2028667999548,408.7221105999779,408.73536109999986,408.73536109999986,408.73536109999986,408.73536109999986,408.73536109999986,408.73536109999986,408.73536109999986,409.45693980000215,2,0.14500000000000002,0.1,False,409.45719210000243,409.47224350000033,409.47224350000033,409.47224350000033,409.47224350000033,409.47224350000033,409.47224350000033,410.96731569996336,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
15,0,10,10,13,,,,,411.47718639997765,,,,,,,,410.9676205999567,410.9683620999567,411.43609959998867,411.47718639997765,411.47718639997765,411.47718639997765,411.47718639997765,411.47718639997765,411.47718639997765,411.47718639997765,412.0399310999783,2,0.14500000000000002,0.1,False,412.04020619997755,412.05455770000117,412.05455770000117,412.05455770000117,412.05455770000117,412.05455770000117,412.05455770000117,413.55160899995826,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
4,0,11,11,2,,,,,414.2907177999732,,,,,,,,413.55193739995593,413.55237949994626,414.2706908999826,414.2907177999732,414.2907177999732,414.2907177999732,414.2907177999732,414.2907177999732,414.2907177999732,414.2907177999732,414.55468109995127,3,0.16,0.0,True,414.5549805999617,414.5705149999703,414.5705149999703,414.5705149999703,414.5705149999703,414.5705149999703,414.5705149999703,416.06467339996016,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
17,0,12,12,15,,,,,417.11826319998363,,,,,,,,416.06510519998847,416.0657073999755,417.1020781999687,417.11826319998363,417.11826319998363,417.11826319998363,417.11826319998363,417.11826319998363,417.11826319998363,417.11826319998363,418.3013975999784,5,0.19,0.25,False,418.30182969995076,418.3164846999571,418.3164846999571,418.3164846999571,418.3164846999571,418.3164846999571,418.3164846999571,419.81154259998584,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
19,0,13,13,17,,,,,420.4986877999618,,,,,,,,419.8118138999562,419.8125467999489,420.48248700000113,420.4986877999618,420.4986877999618,420.4986877999618,420.4986877999618,420.4986877999618,420.4986877999618,420.4986877999618,421.46747149998555,4,0.175,0.2,False,421.4677520999685,421.4839767999947,421.4839767999947,421.4839767999947,421.4839767999947,421.4839767999947,421.4839767999947,422.9795370999491,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
10,0,14,14,8,,,,,423.36373699997785,,,,,,,,422.97978009999497,422.9804529999965,423.3476285999641,423.36373699997785,423.36373699997785,423.36373699997785,423.36373699997785,423.36373699997785,423.36373699997785,423.36373699997785,423.71641749999253,1,0.13,0.05,False,423.71666139998706,423.7332174999756,423.7332174999756,423.7332174999756,423.7332174999756,423.7332174999756,423.7332174999756,425.2255603999947,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
3,0,15,15,1,,,,,425.5413478999981,,,,,,,,425.22586459998274,425.22627129999455,425.5293557999539,425.5413478999981,425.5413478999981,425.5413478999981,425.5413478999981,425.5413478999981,425.5413478999981,425.5413478999981,425.948317399947,1,0.13,0.05,False,425.9485747999861,425.9632121999748,425.9632121999748,425.9632121999748,425.9632121999748,425.9632121999748,425.9632121999748,427.4567790000001,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
12,0,16,16,10,,,,,427.7899428999517,,,,,,,,427.45700059999945,427.4575421999907,427.77631809999,427.7899428999517,427.7899428999517,427.7899428999517,427.7899428999517,427.7899428999517,427.7899428999517,427.7899428999517,428.246979699994,1,0.13,0.05,False,428.2472256999463,428.26175609999336,428.26175609999336,428.26175609999336,428.26175609999336,428.26175609999336,428.26175609999336,429.75513009994756,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
16,0,17,17,14,,,,,430.00494469999103,,,,,,,,429.7553622999694,429.7559219999821,429.9916285999934,430.00494469999103,430.00494469999103,430.00494469999103,430.00494469999103,430.00494469999103,430.00494469999103,430.00494469999103,430.5606971999514,1,0.13,0.05,False,430.5609416999505,430.57591219997266,430.57591219997266,430.57591219997266,430.57591219997266,430.57591219997266,430.57591219997266,432.07383159996243,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
18,0,18,18,16,,,,,432.6084892999497,,,,,,,,432.0742158999783,432.07500979996985,432.59304789995076,432.6084892999497,432.6084892999497,432.6084892999497,432.6084892999497,432.6084892999497,432.6084892999497,432.6084892999497,432.99263179994887,1,0.13,0.05,False,432.9928763999487,433.00770209997427,433.00770209997427,433.00770209997427,433.00770209997427,433.00770209997427,433.00770209997427,434.50308539997786,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
21,0,19,19,19,,,,,434.93542359996354,,,,,,,,434.50336799997604,434.5039149999502,434.92145179997897,434.93542359996354,434.93542359996354,434.93542359996354,434.93542359996354,434.93542359996354,434.93542359996354,434.93542359996354,435.47428609995404,1,0.13,0.05,False,435.47451299999375,435.49001459998544,435.49001459998544,435.49001459998544,435.49001459998544,435.49001459998544,435.49001459998544,436.9846232999698,,,,,david,32,2024-02-04_19h54.20.977,bart,2023.2.3,60.17549581428271,2024-02-04 19h54.34.965715 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0349096999853,437.0710396999493,437.0710396999493,437.0710396999493,,,,,,,,
